topic,video_title,video_url
robotics,Robotics - YouTube,https://www.youtube.com/playlist?list=PLoROMvodv4rNsMOMF1LG3ohsTqZVJVeVp
robotics,"Robot Videos: 1X Robots, Drones, and More - IEEE Spectrum",https://spectrum.ieee.org/video-friday-1x-robots-tidy-up
robotics,Humanoid Robots Are Advancing. Watch These Eye-Popping Demos ...,https://www.businessinsider.com/ai-humanoid-robot-best-demo-videos-tesla-neo-gamma-realbotix-2025-2?op=1
robotics,Robotics Videos - Science Buddies,https://www.sciencebuddies.org/videos/robotics
robotics,Robotic Automation Videos - Association for Advancing Automation,https://www.automate.org/robotics/videos
robotics,10 Best YouTube Channels to Learn Robotics,https://www.placementpreparation.io/blog/best-youtube-channels-to-learn-robotics/
robotics,ROBOTS: Your Guide to the World of Robotics,https://robotsguide.com/
robotics,10 Robotics YouTube Channels to Keep You Updated in 2024,https://www.analyticsinsight.net/latest-news/10-robotics-youtube-channels-to-keep-you-updated-in-2024
robotics,Top 30 Robotics YouTube Channels 2026 | YouTube Statistics | tubics,https://www.tubics.com/rankings/industries/robotics
robotics,496+ Free Robot 4K & HD Stock Videos - Pixabay,https://pixabay.com/videos/search/robot/
ai,Free AI Video Generator | Invideo AI,https://invideo.io/make/ai-video-generator/
ai,Gemini Omni - Create & edit videos as easy as having a conversation,https://gemini.google/overview/video-generation/
ai,Free AI Video Generator No Sign-up | Text to Video | GizAI,https://www.giz.ai/ai-video-generator/
ai,AI Video Generator — Free. Online. No Download. - Kapwing,https://www.kapwing.com/ai-video-generator
ai,Free AI Video Generator - Create AI Videos Online | Magic Hour,https://magichour.ai/products/ai-video-generator
ai,Veo3 AI - Free AI Video Generator,https://www.veo3ai.io/
ai,AI Video Generator | Free Text to Video & Image to Video - Vivideo,https://vivideo.ai/
ai,Flow Video AI | The Ultimate All-in-One AI Creative Suite,https://flowvideo.ai/
ai,AI Video Generator - Text & Image to Video in Seconds | Vidu AI,https://www.vidu.com/ai-video-generator
ai,AI Video Editor - Create & Edit Videos with AI | Canva,https://www.canva.com/video-editor/ai/
sports,Sports - YouTube,https://www.youtube.com/playlist?list=PL_VAdgm-bVGPU_NUEhqNjYxoDF3j5a-gY
sports,ESPN - Serving Sports Fans. Anytime. Anywhere.,https://www.espn.com/
sports,"Watch NBC Sports: Clips, Videos, Highlights, Shows & More - NBC Sports",https://www.nbcsports.com/watch
sports,"NBC Sports Video, News, and Highlights - nbc.com",https://www.nbc.com/sports
sports,"BBC Sport - Scores, Fixtures, News - Live Sport",https://www.bbc.co.uk/sport
sports,Yahoo Sports TV: Watch live shows and highlights 24/7,https://sports.yahoo.com/watch/
sports,"BBC Sport - Scores, Fixtures, News - Live Sport",https://www.bbc.com/sport
sports,Video beIN SPORTS - The Best of Sports Video,https://www.beinsports.com/en-mena/videos
sports,"FOX Sports News, Scores, Schedules, Odds, Shows, Streams & Videos",https://www.foxsports.com/
sports,Sports Videos - Watch Latest Sports Video Clips Online - NDTV.com,https://www.ndtv.com/video/sports
semiconductor,Semiconductor Basics - YouTube,https://www.youtube.com/playlist?list=PLfYdTiQCV_p7sDswtLZKK43BWOd2mTmHC
semiconductor,Semiconductor Engineering - Videos,https://semiengineering.com/videos/
semiconductor,A look into TI Manufacturing | Video | TI.com,https://www.ti.com/video/3872854486001
semiconductor,127+ Free Semiconductor Manufacturing 4K & HD Stock Videos,https://pixabay.com/videos/search/semiconductor%20manufacturing/
semiconductor,NXP Smarter World Videos,https://www.nxp.com/company/about-nxp/smarter-world-videos:VIDEO-VAULT
semiconductor,Videos - Semiconductor Digest,https://www.semiconductor-digest.com/videos/
semiconductor,Silicon Run Productions - Home,https://siliconrun.com/
semiconductor,Watch Nine part series on IC manufacturing including MEMS ... - Vimeo,https://vimeo.com/ondemand/siliconrun
semiconductor,Top 30 Semiconductor Technology YouTube Channels 2026 - tubics,https://www.tubics.com/rankings/industries/semiconductor-technology
semiconductor,The Chemistry of Semiconductors - Semiconductor Industry Association,https://www.semiconductors.org/the-chemistry-of-semiconductors/
